model,test_mse,int_par,rep_id
BCF-RF,3.7135020484473724,0.5,0
BCF-RF,3.408664080666532,1.0,0
BCF-RF,3.2891636147884857,1.5,0
BCF-RF,2.96987788839104,2.0,0
BCF-RF,2.960022373131737,2.5,0
BCF-RF,2.8569975389226157,3.0,0
BCF-RF,2.9953443585801596,3.5,0
BCF-RF,2.6761139372248337,3.99,0
OLS-RF,0.34497987981312755,0.5,0
OLS-RF,0.722339200207835,1.0,0
OLS-RF,1.0193825217904355,1.5,0
OLS-RF,1.1787193443605095,2.0,0
OLS-RF,1.4159000307981344,2.5,0
OLS-RF,1.6084141905015994,3.0,0
OLS-RF,1.621608396523945,3.5,0
OLS-RF,1.605089983711294,3.99,0
IMP,1.0229925463377718,0.5,0
IMP,1.0019384290635205,1.0,0
IMP,1.0470439552358681,1.5,0
IMP,0.9713720117307596,2.0,0
IMP,0.9430700903305939,2.5,0
IMP,1.0774831894449957,3.0,0
IMP,1.0551312256674241,3.5,0
IMP,0.9268805876617394,3.99,0
Causal,2.1261100195927094,0.5,0
Causal,2.0948675972048596,1.0,0
Causal,2.0111528910291394,1.5,0
Causal,1.8881845724174446,2.0,0
Causal,2.0008068376203547,2.5,0
Causal,2.057869492521114,3.0,0
Causal,2.05532168272786,3.5,0
Causal,1.9654146927865315,3.99,0
BCF-MLP,1.048610890398695,0.5,0
BCF-MLP,1.0086396593288096,1.0,0
BCF-MLP,1.0203632468857737,1.5,0
BCF-MLP,0.9641695233758446,2.0,0
BCF-MLP,0.8950706729747397,2.5,0
BCF-MLP,1.0558214657811968,3.0,0
BCF-MLP,1.0739878817583204,3.5,0
BCF-MLP,0.9733502177221469,3.99,0
CF-MLP,1.3869302100798886,0.5,0
CF-MLP,1.384234915536177,1.0,0
CF-MLP,1.3380283161998316,1.5,0
CF-MLP,1.322407660859814,2.0,0
CF-MLP,1.2164143273700438,2.5,0
CF-MLP,1.4140699130565608,3.0,0
CF-MLP,1.4673233935481766,3.5,0
CF-MLP,1.3371284818818179,3.99,0
CF-MLP-2,1.3649013302261872,0.5,0
CF-MLP-2,1.359965751433159,1.0,0
CF-MLP-2,1.3150892821766584,1.5,0
CF-MLP-2,1.2979432988203654,2.0,0
CF-MLP-2,1.1908075861086778,2.5,0
CF-MLP-2,1.3872250021299424,3.0,0
CF-MLP-2,1.438561155866998,3.5,0
CF-MLP-2,1.3103222275997954,3.99,0
CF-MLP-3,1.311675272861151,0.5,0
CF-MLP-3,1.292465706079939,1.0,0
CF-MLP-3,1.2534258389300197,1.5,0
CF-MLP-3,1.231415920796699,2.0,0
