Rep,Method,MSE
North/South_Rep1,BCF,0.43087480158845326
North/South_Rep1,AnchorBooster-small,0.24589476632154295
North/South_Rep1,AnchorBooster-medium,0.2468776311561057
North/South_Rep1,AnchorBooster-large,0.24746499210621914
North/South_Rep1,LS,0.26174644661438434
North/South_Rep1,AVE,1.3995181124682863
North/South_Rep1,CF-medium,0.896445066416759
North/South_Rep1,CF-small,0.5745862915086337
North/South_Rep1,CF-large,1.090054682868765
North/South_Rep1,GroupDRO,0.5252431548649722
North/South_Rep2,BCF,0.41963767136042845
North/South_Rep2,AnchorBooster-small,0.2241660926359209
North/South_Rep2,AnchorBooster-medium,0.22908541487909267
North/South_Rep2,AnchorBooster-large,0.22941640503481242
North/South_Rep2,LS,0.23360674066868095
North/South_Rep2,AVE,1.3997707720932437
North/South_Rep2,CF-medium,0.86156666427285
North/South_Rep2,CF-small,0.5572056904233745
North/South_Rep2,CF-large,1.0505236821555852
North/South_Rep2,GroupDRO,0.42261279505948546
North/South_Rep3,BCF,0.44606136678541536
North/South_Rep3,AnchorBooster-small,0.25203458358594355
North/South_Rep3,AnchorBooster-medium,0.2541534969063646
North/South_Rep3,AnchorBooster-large,0.2542410410936835
North/South_Rep3,LS,0.2613094266185505
North/South_Rep3,AVE,1.4507204518232566
North/South_Rep3,CF-medium,0.9650674806507218
North/South_Rep3,CF-small,0.6157933077990898
North/South_Rep3,CF-large,1.1578401419624114
North/South_Rep3,GroupDRO,0.4790101576521349
North/South_Rep4,BCF,0.4280266479404532
North/South_Rep4,AnchorBooster-small,0.23824260392309682
North/South_Rep4,AnchorBooster-medium,0.23597173520999074
North/South_Rep4,AnchorBooster-large,0.23170728074228594
North/South_Rep4,LS,0.249275907042057
North/South_Rep4,AVE,1.4025929146183527
North/South_Rep4,CF-medium,0.9049352567804747
North/South_Rep4,CF-small,0.5809588692316141
North/South_Rep4,CF-large,1.0840671574917258
North/South_Rep4,GroupDRO,0.46118908328206376
North/South_Rep5,BCF,0.42491255319339705
North/South_Rep5,AnchorBooster-small,0.2206653987988608
North/South_Rep5,AnchorBooster-medium,0.2205008471455633
North/South_Rep5,AnchorBooster-large,0.22116361043489283
North/South_Rep5,LS,0.2325101161920092
North/South_Rep5,AVE,1.3084331582303244
North/South_Rep5,CF-medium,0.803945053808202
North/South_Rep5,CF-small,0.516339793432489
North/South_Rep5,CF-large,0.9701533181672463
North/South_Rep5,GroupDRO,0.506357027306507
North/South_Rep6,BCF,0.392843022955493
North/South_Rep6,AnchorBooster-small,0.23744580876796728
North/South_Rep6,AnchorBooster-medium,0.2355207668634271
North/South_Rep6,AnchorBooster-large,0.23748636771312362
North/South_Rep6,LS,0.24432019787444023
North/South_Rep6,AVE,1.3083159229401011
North/South_Rep6,CF-medium,0.8387534060660798
North/South_Rep6,CF-small,0.5377423835739427
North/South_Rep6,CF-large,1.004686036914479
North/South_Rep6,GroupDRO,0.5039468631728496
North/South_Rep7,BCF,0.4377352881102487
North/South_Rep7,AnchorBooster-small,0.23564968130740066
North/South_Rep7,AnchorBooster-medium,0.2371213835882752
North/South_Rep7,AnchorBooster-large,0.2391933251649376
North/South_Rep7,LS,0.2529109044423838
North/South_Rep7,AVE,1.3629288521083573
North/South_Rep7,CF-medium,0.8675397897159145
North/South_Rep7,CF-small,0.5654815069479502
North/South_Rep7,CF-large,1.0346713994518597
North/South_Rep7,GroupDRO,0.4709126717617328
North/South_Rep8,BCF,0.4154245352575395
North/South_Rep8,AnchorBooster-small,0.237678078735919
North/South_Rep8,AnchorBooster-medium,0.23770066607912843
North/South_Rep8,AnchorBooster-large,0.23591570164935693
North/South_Rep8,LS,0.24648302730252797
North/South_Rep8,AVE,1.355392614986623
North/South_Rep8,CF-medium,0.8640595481826102
North/South_Rep8,CF-small,0.5584729590101077
North/South_Rep8,CF-large,1.0656765779975361
North/South_Rep8,GroupDRO,0.4825202370248479
North/South_Rep9,BCF,0.42088158060106867
North/South_Rep9,AnchorBooster-small,0.24363613625906136
North/South_Rep9,AnchorBooster-medium,0.24427123219790106
North/South_Rep9,AnchorBooster-large,0.24607419629911376
North/South_Rep9,LS,0.25912144000732434
North/South_Rep9,AVE,1.3823453657617617
North/South_Rep9,CF-medium,0.8534633865142914
North/South_Rep9,CF-small,0.5620995541815598
North/South_Rep9,CF-large,1.0640512230322714
North/South_Rep9,GroupDRO,0.5287779060815206
North/South_Rep10,BCF,0.44824070749605
North/South_Rep10,AnchorBooster-small,0.24478216485734186
North/South_Rep10,AnchorBooster-medium,0.24787022574718634
North/South_Rep10,AnchorBooster-large,0.24520735516325207
North/South_Rep10,LS,0.2584245707271305
North/South_Rep10,AVE,1.3765430212227885
North/South_Rep10,CF-medium,0.9117958459806048
North/South_Rep10,CF-small,0.5841542187479999
North/South_Rep10,CF-large,1.0957653426337648
North/South_Rep10,GroupDRO,0.49848120197055484
South/North_Rep1,BCF,0.344967307464869
South/North_Rep1,AnchorBooster-small,0.2702542913913743
