model,test_mse,int_par,rep_id
IMP,1.1254642207682433,3.0,3
IMP,1.1254642207682433,3.5,3
IMP,1.1254642207682433,3.99,3
Causal,2.0450119840752095,0.5,3
Causal,2.04501198407521,1.0,3
Causal,2.04501198407521,1.5,3
Causal,2.04501198407521,2.0,3
Causal,2.04501198407521,2.5,3
Causal,2.04501198407521,3.0,3
Causal,2.04501198407521,3.5,3
Causal,2.04501198407521,3.99,3
BCF,1.4551474980216,0.5,4
BCF,1.409199926594443,1.0,4
BCF,1.3948652925600873,1.5,4
BCF,1.3968529860185976,2.0,4
BCF,1.2753977040416977,2.5,4
BCF,1.237743314938697,3.0,4
BCF,1.1130455717843388,3.5,4
BCF,1.0440669524004842,3.99,4
CF,1.7977162380530693,0.5,4
CF,1.7226212728456554,1.0,4
CF,1.6882238400079645,1.5,4
CF,1.6601490240981347,2.0,4
CF,1.5615984538339467,2.5,4
CF,1.433306199108106,3.0,4
CF,1.2472523702141265,3.5,4
CF,1.0691962221485944,3.99,4
OLS,0.7059454020686992,0.5,4
OLS,0.8389337740590472,1.0,4
OLS,1.0073892648988776,1.5,4
OLS,1.3455601521287621,2.0,4
OLS,1.8595384363877299,2.5,4
OLS,2.5082060738773784,3.0,4
OLS,3.3722514319223964,3.5,4
OLS,4.818624856868939,3.99,4
IMP,1.2369463242585175,0.5,4
IMP,1.2369463242585175,1.0,4
IMP,1.2369463242585175,1.5,4
IMP,1.2369463242585175,2.0,4
IMP,1.2369463242585175,2.5,4
IMP,1.2369463242585175,3.0,4
IMP,1.2369463242585175,3.5,4
IMP,1.2369463242585175,3.99,4
Causal,1.8374588593757653,0.5,4
Causal,1.8374588593757653,1.0,4
Causal,1.8374588593757653,1.5,4
Causal,1.837458859375765,2.0,4
Causal,1.8374588593757653,2.5,4
Causal,1.8374588593757653,3.0,4
Causal,1.8374588593757653,3.5,4
Causal,1.8374588593757653,3.99,4
BCF,1.1282261611698865,0.5,5
BCF,1.0920503245683115,1.0,5
BCF,1.0389250668899008,1.5,5
BCF,1.0006015552280867,2.0,5
BCF,1.0297933712765757,2.5,5
BCF,1.099695363231669,3.0,5
BCF,1.1688319526349173,3.5,5
BCF,1.296426607767617,3.99,5
CF,1.6024957422121848,0.5,5
CF,1.5887275649063568,1.0,5
CF,1.5899367232518307,1.5,5
CF,1.5662776219048329,2.0,5
CF,1.5421825976741799,2.5,5
CF,1.5530127803087865,3.0,5
CF,1.5708605333955856,3.5,5
