model,test_mse,int_par,var_y,rep_id
BCF,1.7696351745275698,0.5,7.395702405208256,0
BCF,1.6459985339003063,1.0,6.5068904797590115,0
BCF,1.676129604909025,1.5,5.460289311209113,0
BCF,1.7659147929686723,2.0,4.472526042846289,0
BCF,1.840225167215198,2.5,3.3469946393766414,0
BCF,2.151651987398691,3.0,2.341953617645967,0
BCF,2.5088153791809455,3.5,1.3870203161151373,0
BCF,2.864246908947234,3.99,0.7742842638256836,0
BCF-MLP-large,1.074538635173758,0.5,7.395702405208256,0
BCF-MLP-large,1.0381147840734002,1.0,6.5068904797590115,0
BCF-MLP-large,0.9901435888866948,1.5,5.460289311209113,0
BCF-MLP-large,0.9508206796684741,2.0,4.472526042846289,0
BCF-MLP-large,0.9802734688971831,2.5,3.3469946393766414,0
BCF-MLP-large,0.9749207291439626,3.0,2.341953617645967,0
BCF-MLP-large,1.0169586995861049,3.5,1.3870203161151373,0
BCF-MLP-large,1.0757975949438432,3.99,0.7742842638256836,0
IMP,0.9883597356682899,0.5,7.395702405208256,0
IMP,0.9883597356682899,1.0,6.5068904797590115,0
IMP,0.9883597356682899,1.5,5.460289311209113,0
IMP,0.9883597356682899,2.0,4.472526042846289,0
IMP,0.9883597356682899,2.5,3.3469946393766414,0
IMP,0.9883597356682899,3.0,2.341953617645967,0
IMP,0.9883597356682899,3.5,1.3870203161151373,0
IMP,0.9883597356682899,3.99,0.7742842638256836,0
Causal,1.9524883760281668,0.5,7.395702405208256,0
Causal,1.9524883760281668,1.0,6.5068904797590115,0
Causal,1.9524883760281664,1.5,5.460289311209113,0
Causal,1.9524883760281666,2.0,4.472526042846289,0
Causal,1.9524883760281666,2.5,3.3469946393766414,0
Causal,1.9524883760281664,3.0,2.341953617645967,0
Causal,1.9524883760281664,3.5,1.3870203161151373,0
Causal,1.9524883760281668,3.99,0.7742842638256836,0
OLS,0.42194828223434133,0.5,7.395702405208256,0
OLS,0.7630466319007577,1.0,6.5068904797590115,0
OLS,1.1689173658136842,1.5,5.460289311209113,0
OLS,1.531061077335346,2.0,4.472526042846289,0
OLS,1.7218089350131605,2.5,3.3469946393766414,0
OLS,1.9627843891694743,3.0,2.341953617645967,0
OLS,2.172846733859052,3.5,1.3870203161151373,0
OLS,2.4668112986551782,3.99,0.7742842638256836,0
