model,test_mse,int_par,rep_id
CF-MLP-4,5.160405209934741,0.5,0
CF-MLP-4,4.509710084866078,1.0,0
CF-MLP-4,3.8401778286152783,1.5,0
CF-MLP-4,3.1286119924909515,2.0,0
CF-MLP-4,1.9655042609091042,2.5,0
CF-MLP-4,1.3180535487982723,3.0,0
CF-MLP-4,1.1440844215559105,3.5,0
CF-MLP-4,0.8315983376715989,3.99,0
CF-MLP-4,1.301499573655834,0.5,1
CF-MLP-4,1.3296584515806156,1.0,1
CF-MLP-4,1.5848320440387025,1.5,1
CF-MLP-4,1.726152975814346,2.0,1
CF-MLP-4,1.8628101791745413,2.5,1
CF-MLP-4,2.107344771468587,3.0,1
CF-MLP-4,2.004535393614355,3.5,1
CF-MLP-4,2.1755629348689536,3.99,1
CF-MLP-4,2.7564234402226275,0.5,2
CF-MLP-4,2.0458477573352964,1.0,2
CF-MLP-4,1.8022772091231214,1.5,2
CF-MLP-4,1.8535219332973536,2.0,2
CF-MLP-4,2.325541950044318,2.5,2
CF-MLP-4,2.8308302502231806,3.0,2
CF-MLP-4,3.2634917644978283,3.5,2
CF-MLP-4,3.8636699620757224,3.99,2
CF-MLP-4,6.87477579403305,0.5,3
CF-MLP-4,8.657046933674057,1.0,3
CF-MLP-4,9.916495511447676,1.5,3
CF-MLP-4,10.06701990182031,2.0,3
CF-MLP-4,10.137388138400206,2.5,3
CF-MLP-4,9.208834862887805,3.0,3
CF-MLP-4,8.198837956985635,3.5,3
CF-MLP-4,6.286902562653787,3.99,3
CF-MLP-4,0.6793289795942256,0.5,4
CF-MLP-4,0.9804544794183196,1.0,4
CF-MLP-4,1.3072622596214587,1.5,4
CF-MLP-4,1.600177611259456,2.0,4
CF-MLP-4,1.9221125562229664,2.5,4
CF-MLP-4,2.47379848702688,3.0,4
CF-MLP-4,2.5076290409494515,3.5,4
CF-MLP-4,2.752989448095489,3.99,4
CF-MLP-4,6.673216166344642,0.5,5
CF-MLP-4,6.80109137253271,1.0,5
CF-MLP-4,7.058518977813758,1.5,5
CF-MLP-4,7.442153345947612,2.0,5
CF-MLP-4,6.198903890697186,2.5,5
CF-MLP-4,5.443470954798868,3.0,5
CF-MLP-4,3.8611447211020185,3.5,5
CF-MLP-4,2.6504392000980306,3.99,5
CF-MLP-4,3.3793357023744957,0.5,6
CF-MLP-4,3.3648486972368215,1.0,6
CF-MLP-4,3.4675101104806045,1.5,6
CF-MLP-4,3.193167311550663,2.0,6
CF-MLP-4,2.817092876922643,2.5,6
CF-MLP-4,2.075975940145444,3.0,6
CF-MLP-4,1.8496357775342684,3.5,6
CF-MLP-4,1.7397623616741489,3.99,6
CF-MLP-4,0.7288730971887919,0.5,7
CF-MLP-4,0.8637138901039938,1.0,7
CF-MLP-4,1.0980082657783097,1.5,7
CF-MLP-4,1.2448498195661755,2.0,7
CF-MLP-4,1.3575813342195684,2.5,7
CF-MLP-4,1.5748364420433452,3.0,7
CF-MLP-4,1.676479992812425,3.5,7
CF-MLP-4,1.538840123262141,3.99,7
CF-MLP-4,5.129255350227298,0.5,8
CF-MLP-4,4.307712470051567,1.0,8
CF-MLP-4,3.4104034091633673,1.5,8
CF-MLP-4,2.515310924370166,2.0,8
CF-MLP-4,1.7782632888264631,2.5,8
CF-MLP-4,1.4391181971426954,3.0,8
CF-MLP-4,1.375371201060419,3.5,8
CF-MLP-4,1.3760766175892527,3.99,8
CF-MLP-4,1.6828811735603684,0.5,9
CF-MLP-4,1.806301755890915,1.0,9
CF-MLP-4,2.193528150003374,1.5,9
CF-MLP-4,2.3662502515759827,2.0,9
CF-MLP-4,2.5559914629836387,2.5,9
CF-MLP-4,2.7977870294430605,3.0,9
CF-MLP-4,3.067193564473241,3.5,9
CF-MLP-4,2.776154950571215,3.99,9
