model,test_mse,int_par,var_y,rep_id
BCF,0.9744834816913227,0.5,8.034455540892807,0
BCF,1.017722568891815,1.0,7.123731042855874,0
BCF,1.037491530645812,1.5,6.025866717436286,0
BCF,1.045091595058334,2.0,4.933835618343088,0
BCF,1.0405827711965243,2.5,3.795772187664051,0
BCF,1.011467017689352,3.0,2.9314366180661535,0
BCF,0.9791908398122503,3.5,2.2348655119922816,0
BCF,0.9988645807746902,3.99,1.4577104339612446,0
BCF-MLP-large,0.9794852527975103,0.5,8.034455540892807,0
BCF-MLP-large,0.9963543070856883,1.0,7.123731042855874,0
BCF-MLP-large,1.0114341617132203,1.5,6.025866717436286,0
BCF-MLP-large,1.0121641097988925,2.0,4.933835618343088,0
BCF-MLP-large,0.9988898023864262,2.5,3.795772187664051,0
BCF-MLP-large,1.030011552764049,3.0,2.9314366180661535,0
BCF-MLP-large,1.1018360825825566,3.5,2.2348655119922816,0
BCF-MLP-large,1.2081442575222463,3.99,1.4577104339612446,0
IMP,1.015338382478897,0.5,8.034455540892807,0
IMP,1.015338382478897,1.0,7.123731042855874,0
IMP,1.015338382478897,1.5,6.025866717436286,0
IMP,1.015338382478897,2.0,4.933835618343088,0
IMP,1.015338382478897,2.5,3.795772187664051,0
IMP,1.015338382478897,3.0,2.9314366180661535,0
IMP,1.015338382478897,3.5,2.2348655119922816,0
IMP,1.015338382478897,3.99,1.4577104339612446,0
Causal,1.9444911775378246,0.5,8.034455540892807,0
Causal,1.9444911775378246,1.0,7.123731042855874,0
Causal,1.9444911775378246,1.5,6.025866717436286,0
Causal,1.9444911775378246,2.0,4.933835618343088,0
Causal,1.9444911775378246,2.5,3.795772187664051,0
Causal,1.9444911775378246,3.0,2.9314366180661535,0
Causal,1.9444911775378246,3.5,2.2348655119922816,0
Causal,1.9444911775378246,3.99,1.4577104339612446,0
OLS,0.38647113656147597,0.5,8.034455540892807,0
OLS,0.7252180633101669,1.0,7.123731042855874,0
OLS,1.1807183788876354,1.5,6.025866717436286,0
OLS,1.5084268902559739,2.0,4.933835618343088,0
OLS,1.843346628720431,2.5,3.795772187664051,0
OLS,2.130296379279861,3.0,2.9314366180661535,0
OLS,2.2849562251278486,3.5,2.2348655119922816,0
OLS,2.5504559067568056,3.99,1.4577104339612446,0
