model,test_mse,int_par,var_y,rep_id
BCF,1.1721831578906294,0.5,13.325885999329127,0
BCF,1.2370429787128807,1.0,12.811456457653215,0
BCF,1.2898175898371849,1.5,12.237276907702725,0
BCF,1.2986689411546135,2.0,11.700682051175727,0
BCF,1.424765360681524,2.5,11.203546490400942,0
BCF,1.564387663925669,3.0,10.597528533214039,0
BCF,1.767555785149561,3.5,9.800453818789032,0
BCF,2.098148602224144,3.99,9.173698049312044,0
BCF-MLP-large,1.510259335292286,0.5,13.325885999329127,0
BCF-MLP-large,1.3912741338964298,1.0,12.811456457653215,0
BCF-MLP-large,1.29912190625711,1.5,12.237276907702725,0
BCF-MLP-large,1.2501640659188433,2.0,11.700682051175727,0
BCF-MLP-large,1.3373812764804038,2.5,11.203546490400942,0
BCF-MLP-large,1.508593542435123,3.0,10.597528533214039,0
BCF-MLP-large,1.8013226955409032,3.5,9.800453818789032,0
BCF-MLP-large,2.196681847407858,3.99,9.173698049312044,0
IMP,1.0171569305350214,0.5,13.325885999329127,0
IMP,1.0171569305350214,1.0,12.811456457653215,0
IMP,1.0171569305350214,1.5,12.237276907702725,0
IMP,1.0171569305350214,2.0,11.700682051175727,0
IMP,1.0171569305350214,2.5,11.203546490400942,0
IMP,1.0171569305350214,3.0,10.597528533214039,0
IMP,1.0171569305350214,3.5,9.800453818789032,0
IMP,1.0171569305350214,3.99,9.173698049312044,0
Causal,2.1072665938679496,0.5,13.325885999329127,0
Causal,2.10726659386795,1.0,12.811456457653215,0
Causal,2.10726659386795,1.5,12.237276907702725,0
Causal,2.10726659386795,2.0,11.700682051175727,0
Causal,2.10726659386795,2.5,11.203546490400942,0
Causal,2.10726659386795,3.0,10.597528533214039,0
Causal,2.1072665938679496,3.5,9.800453818789032,0
Causal,2.10726659386795,3.99,9.173698049312044,0
OLS,0.4376844727211669,0.5,13.325885999329127,0
OLS,0.8128055469438152,1.0,12.811456457653215,0
OLS,1.2224989913737896,1.5,12.237276907702725,0
OLS,1.6783237401702833,2.0,11.700682051175727,0
OLS,1.843518438147387,2.5,11.203546490400942,0
OLS,2.1218364639619627,3.0,10.597528533214039,0
OLS,2.329515199957232,3.5,9.800453818789032,0
OLS,2.541117017847004,3.99,9.173698049312044,0
