model,test_mse,int_par,var_y,rep_id
BCF,1.67216404306718,0.5,6.459272995416502,0
BCF,1.637907445593613,1.0,7.087211635761088,0
BCF,1.5543751426343406,1.5,7.082903788953479,0
BCF,1.5318391442135164,2.0,6.870770281966716,0
BCF,1.6232881831627828,2.5,7.032980766563761,0
BCF,1.8052380965194856,3.0,6.584824351449324,0
BCF,1.8712546839044661,3.5,6.191226420479481,0
BCF,1.9339106419567786,3.99,5.760301514497929,0
BCF-MLP-large,0.7421812078496407,0.5,6.459272995416502,0
BCF-MLP-large,0.7738069688196143,1.0,7.087211635761088,0
BCF-MLP-large,0.8068090306472461,1.5,7.082903788953479,0
BCF-MLP-large,0.8302713950869972,2.0,6.870770281966716,0
BCF-MLP-large,0.850382863774437,2.5,7.032980766563761,0
BCF-MLP-large,0.8872208324003905,3.0,6.584824351449324,0
BCF-MLP-large,0.9051380536614615,3.5,6.191226420479481,0
BCF-MLP-large,0.8946672453373761,3.99,5.760301514497929,0
IMP,0.9023705935087164,0.5,6.459272995416502,0
IMP,0.9023705935087164,1.0,7.087211635761088,0
IMP,0.9023705935087164,1.5,7.082903788953479,0
IMP,0.9023705935087164,2.0,6.870770281966716,0
IMP,0.9023705935087164,2.5,7.032980766563761,0
IMP,0.9023705935087164,3.0,6.584824351449324,0
IMP,0.9023705935087164,3.5,6.191226420479481,0
IMP,0.9023705935087164,3.99,5.760301514497929,0
Causal,1.980301004993552,0.5,6.459272995416502,0
Causal,1.980301004993552,1.0,7.087211635761088,0
Causal,1.980301004993552,1.5,7.082903788953479,0
Causal,1.9803010049935519,2.0,6.870770281966716,0
Causal,1.980301004993552,2.5,7.032980766563761,0
Causal,1.9803010049935519,3.0,6.584824351449324,0
Causal,1.9803010049935519,3.5,6.191226420479481,0
Causal,1.9803010049935519,3.99,5.760301514497929,0
OLS,0.42360757670343285,0.5,6.459272995416502,0
OLS,0.73048906207975,1.0,7.087211635761088,0
OLS,1.1313681939631348,1.5,7.082903788953479,0
OLS,1.4691988103337184,2.0,6.870770281966716,0
OLS,1.4764052844025726,2.5,7.032980766563761,0
OLS,1.5311370737059673,3.0,6.584824351449324,0
OLS,1.6789479124792532,3.5,6.191226420479481,0
OLS,1.8528141972005023,3.99,5.760301514497929,0
