model,test_mse,int_par,var_y,rep_id
BCF,1.2738330936598363,0.5,8.034455540892807,0
BCF,1.3558688992668222,1.0,7.123731042855874,0
BCF,1.4218014886020192,1.5,6.025866717436286,0
BCF,1.502545553143433,2.0,4.933835618343088,0
BCF,1.56101452297592,2.5,3.795772187664051,0
BCF,1.753963935531921,3.0,2.9314366180661535,0
BCF,2.0146419769722255,3.5,2.2348655119922816,0
BCF,2.3365357829758895,3.99,1.4577104339612446,0
BCF-MLP-large,1.24814893399842,0.5,8.034455540892807,0
BCF-MLP-large,1.3068602348922296,1.0,7.123731042855874,0
BCF-MLP-large,1.3785918742882737,1.5,6.025866717436286,0
BCF-MLP-large,1.377088337392298,2.0,4.933835618343088,0
BCF-MLP-large,1.270010520844536,2.5,3.795772187664051,0
BCF-MLP-large,1.2834828645428429,3.0,2.9314366180661535,0
BCF-MLP-large,1.281844012018562,3.5,2.2348655119922816,0
BCF-MLP-large,1.3158663098288808,3.99,1.4577104339612446,0
IMP,1.015338382478897,0.5,8.034455540892807,0
IMP,1.015338382478897,1.0,7.123731042855874,0
IMP,1.015338382478897,1.5,6.025866717436286,0
IMP,1.015338382478897,2.0,4.933835618343088,0
IMP,1.015338382478897,2.5,3.795772187664051,0
IMP,1.015338382478897,3.0,2.9314366180661535,0
IMP,1.015338382478897,3.5,2.2348655119922816,0
IMP,1.015338382478897,3.99,1.4577104339612446,0
Causal,1.9444911775378246,0.5,8.034455540892807,0
Causal,1.9444911775378246,1.0,7.123731042855874,0
Causal,1.9444911775378246,1.5,6.025866717436286,0
Causal,1.9444911775378246,2.0,4.933835618343088,0
Causal,1.9444911775378246,2.5,3.795772187664051,0
Causal,1.9444911775378246,3.0,2.9314366180661535,0
Causal,1.9444911775378246,3.5,2.2348655119922816,0
Causal,1.9444911775378246,3.99,1.4577104339612446,0
OLS,0.5749417845549165,0.5,8.034455540892807,0
OLS,0.8780827973202834,1.0,7.123731042855874,0
OLS,1.2271443522451577,1.5,6.025866717436286,0
OLS,1.6173756936381138,2.0,4.933835618343088,0
OLS,1.9906222627684909,2.5,3.795772187664051,0
OLS,2.200526332343403,3.0,2.9314366180661535,0
OLS,2.4633680663857502,3.5,2.2348655119922816,0
OLS,2.617872192685897,3.99,1.4577104339612446,0
