model,test_mse,int_par,var_y,rep_id
BCF,1.1196874199110363,0.5,2.1847307625475745,0
BCF,1.138215269913996,1.0,2.3269325595206554,0
BCF,1.286999245301662,1.5,2.448003021221913,0
BCF,1.3649786364954324,2.0,2.491896967893657,0
BCF,1.4407080056307837,2.5,2.633511042558264,0
BCF,1.4660665163015938,3.0,2.509420373605305,0
BCF,1.531230848397147,3.5,2.2976110803790912,0
BCF,1.6106677639169902,3.99,1.9445449997579212,0
BCF-MLP-large,1.167839854127826,0.5,2.1847307625475745,0
BCF-MLP-large,1.1061411545260293,1.0,2.3269325595206554,0
BCF-MLP-large,1.0595777458718556,1.5,2.448003021221913,0
BCF-MLP-large,1.0514226876589405,2.0,2.491896967893657,0
BCF-MLP-large,1.0741729533228648,2.5,2.633511042558264,0
BCF-MLP-large,1.0297265533324416,3.0,2.509420373605305,0
BCF-MLP-large,0.997993856508003,3.5,2.2976110803790912,0
BCF-MLP-large,0.998684929161707,3.99,1.9445449997579212,0
IMP,1.0648619360813332,0.5,2.1847307625475745,0
IMP,1.0648619360813334,1.0,2.3269325595206554,0
IMP,1.0648619360813334,1.5,2.448003021221913,0
IMP,1.0648619360813332,2.0,2.491896967893657,0
IMP,1.0648619360813334,2.5,2.633511042558264,0
IMP,1.0648619360813336,3.0,2.509420373605305,0
IMP,1.0648619360813336,3.5,2.2976110803790912,0
IMP,1.0648619360813334,3.99,1.9445449997579212,0
Causal,2.1540303847546167,0.5,2.1847307625475745,0
Causal,2.1540303847546167,1.0,2.3269325595206554,0
Causal,2.1540303847546167,1.5,2.448003021221913,0
Causal,2.1540303847546167,2.0,2.491896967893657,0
Causal,2.1540303847546167,2.5,2.633511042558264,0
Causal,2.154030384754617,3.0,2.509420373605305,0
Causal,2.1540303847546167,3.5,2.2976110803790912,0
Causal,2.1540303847546167,3.99,1.9445449997579212,0
OLS,0.40516284023295657,0.5,2.1847307625475745,0
OLS,0.7481989082565879,1.0,2.3269325595206554,0
OLS,1.2272799899217681,1.5,2.448003021221913,0
OLS,1.7006667189440428,2.0,2.491896967893657,0
OLS,2.145571334657093,2.5,2.633511042558264,0
OLS,2.477730214937207,3.0,2.509420373605305,0
OLS,2.7166725859416045,3.5,2.2976110803790912,0
OLS,2.9592818685078033,3.99,1.9445449997579212,0
