model,test_mse,int_par,var_y,rep_id
BCF,1.1087836955499235,0.5,5.4263071988154,0
BCF,1.1452995008668714,1.0,7.133356993134696,0
BCF,1.1762479349217132,1.5,8.019787347637209,0
BCF,1.2132139341332773,2.0,8.525621298035407,0
BCF,1.2143766418151123,2.5,9.097906240484816,0
BCF,1.2465461073524091,3.0,8.216370083527497,0
BCF,1.3050475789096536,3.5,7.016520170795563,0
BCF,1.34261941693788,3.99,4.711258655999657,0
BCF-MLP-large,0.9840549570834813,0.5,5.4263071988154,0
BCF-MLP-large,0.9918149892679434,1.0,7.133356993134696,0
BCF-MLP-large,0.9939463276581865,1.5,8.019787347637209,0
BCF-MLP-large,0.992083318369749,2.0,8.525621298035407,0
BCF-MLP-large,0.9875250804765635,2.5,9.097906240484816,0
BCF-MLP-large,0.985076163215854,3.0,8.216370083527497,0
BCF-MLP-large,0.9688574062384732,3.5,7.016520170795563,0
BCF-MLP-large,0.9234080339028559,3.99,4.711258655999657,0
IMP,0.9629443610247392,0.5,5.4263071988154,0
IMP,0.9629443610247395,1.0,7.133356993134696,0
IMP,0.9629443610247392,1.5,8.019787347637209,0
IMP,0.9629443610247392,2.0,8.525621298035407,0
IMP,0.9629443610247392,2.5,9.097906240484816,0
IMP,0.9629443610247392,3.0,8.216370083527497,0
IMP,0.9629443610247393,3.5,7.016520170795563,0
IMP,0.9629443610247392,3.99,4.711258655999657,0
Causal,2.050469297399839,0.5,5.4263071988154,0
Causal,2.050469297399839,1.0,7.133356993134696,0
Causal,2.050469297399839,1.5,8.019787347637209,0
Causal,2.050469297399839,2.0,8.525621298035407,0
Causal,2.050469297399839,2.5,9.097906240484816,0
Causal,2.050469297399839,3.0,8.216370083527497,0
Causal,2.050469297399839,3.5,7.016520170795563,0
Causal,2.050469297399839,3.99,4.711258655999657,0
OLS,0.3648506850799472,0.5,5.4263071988154,0
OLS,0.7104007050774992,1.0,7.133356993134696,0
OLS,1.120692560641106,1.5,8.019787347637209,0
OLS,1.573022021770519,2.0,8.525621298035407,0
OLS,1.7799336980683256,2.5,9.097906240484816,0
OLS,2.0660010526962695,3.0,8.216370083527497,0
OLS,2.113423298221655,3.5,7.016520170795563,0
OLS,2.2327969896911783,3.99,4.711258655999657,0
