model,test_mse,int_par,var_y,rep_id
BCF,0.7375730938582444,0.5,13.325885999329127,0
BCF,1.0132492019936268,1.0,12.811456457653215,0
BCF,1.082620201295469,1.5,12.237276907702725,0
BCF,1.1653241791230606,2.0,11.700682051175727,0
BCF,1.2741607448942223,2.5,11.203546490400942,0
BCF,1.381180048877693,3.0,10.597528533214039,0
BCF,1.5683389089639277,3.5,9.800453818789032,0
BCF,1.8715894024104145,3.99,9.173698049312044,0
BCF-MLP-large,1.2483791688850734,0.5,13.325885999329127,0
BCF-MLP-large,1.2099655176705628,1.0,12.811456457653215,0
BCF-MLP-large,1.1740845518094447,1.5,12.237276907702725,0
BCF-MLP-large,1.1466676571316978,2.0,11.700682051175727,0
BCF-MLP-large,1.203538039188444,2.5,11.203546490400942,0
BCF-MLP-large,1.3151783282874716,3.0,10.597528533214039,0
BCF-MLP-large,1.511006103666015,3.5,9.800453818789032,0
BCF-MLP-large,1.7975072955969513,3.99,9.173698049312044,0
IMP,1.0171569305350214,0.5,13.325885999329127,0
IMP,1.0171569305350214,1.0,12.811456457653215,0
IMP,1.0171569305350214,1.5,12.237276907702725,0
IMP,1.0171569305350214,2.0,11.700682051175727,0
IMP,1.0171569305350214,2.5,11.203546490400942,0
IMP,1.0171569305350214,3.0,10.597528533214039,0
IMP,1.0171569305350214,3.5,9.800453818789032,0
IMP,1.0171569305350214,3.99,9.173698049312044,0
Causal,2.1072665938679496,0.5,13.325885999329127,0
Causal,2.10726659386795,1.0,12.811456457653215,0
Causal,2.10726659386795,1.5,12.237276907702725,0
Causal,2.10726659386795,2.0,11.700682051175727,0
Causal,2.10726659386795,2.5,11.203546490400942,0
Causal,2.10726659386795,3.0,10.597528533214039,0
Causal,2.1072665938679496,3.5,9.800453818789032,0
Causal,2.10726659386795,3.99,9.173698049312044,0
OLS,0.017984852184230498,0.5,13.325885999329127,0
OLS,0.5404800542498933,1.0,12.811456457653215,0
OLS,0.9565295153396648,1.5,12.237276907702725,0
OLS,1.3999515809382945,2.0,11.700682051175727,0
OLS,1.8205557141695807,2.5,11.203546490400942,0
OLS,2.0775654608338727,3.0,10.597528533214039,0
OLS,2.3184327866625396,3.5,9.800453818789032,0
OLS,2.573775177904552,3.99,9.173698049312044,0
