model,test_mse,int_par,rep_id
BCF,0.7305142887173636,0.5,0
BCF,0.8881084397708701,1.0,0
BCF,1.0579600098159563,1.5,0
BCF,1.1560387415116384,2.0,0
BCF,1.245725646939763,2.5,0
BCF,1.2366380346766994,3.0,0
BCF,1.287958069067386,3.5,0
BCF,1.2558185114072757,3.99,0
CF,1.1338355460371277,0.5,0
CF,1.2006375438601817,1.0,0
CF,1.2526850021126246,1.5,0
CF,1.2865907733696949,2.0,0
CF,1.2891828275515353,2.5,0
CF,1.2713445156649745,3.0,0
CF,1.266154392062315,3.5,0
CF,1.2386745251667697,3.99,0
OLS,0.026543773944570834,0.5,0
OLS,0.6644421516267868,1.0,0
OLS,1.1557671321832312,1.5,0
OLS,1.521757804734521,2.0,0
OLS,1.7588575456943762,2.5,0
OLS,1.8002784052635543,3.0,0
OLS,1.7729336817294525,3.5,0
OLS,1.8451457601564,3.99,0
IMP,0.8335714693710837,0.5,0
IMP,0.8335714693710838,1.0,0
IMP,0.8335714693710837,1.5,0
IMP,0.8335714693710838,2.0,0
IMP,0.8335714693710837,2.5,0
IMP,0.8335714693710838,3.0,0
IMP,0.8335714693710838,3.5,0
IMP,0.8335714693710838,3.99,0
Causal,1.9980305260713058,0.5,0
Causal,1.9980305260713058,1.0,0
Causal,1.9980305260713058,1.5,0
Causal,1.9980305260713058,2.0,0
Causal,1.9980305260713058,2.5,0
Causal,1.9980305260713058,3.0,0
Causal,1.9980305260713058,3.5,0
Causal,1.9980305260713058,3.99,0
BCF,0.9015470222630623,0.5,1
BCF,1.2366043773257245,1.0,1
BCF,1.3257956790637058,1.5,1
BCF,1.4486609349464241,2.0,1
BCF,1.3933544629342023,2.5,1
BCF,1.3477388456393156,3.0,1
BCF,1.5318615425484192,3.5,1
BCF,1.6166186231135156,3.99,1
CF,4.670255179061793,0.5,1
CF,4.9208785124906065,1.0,1
CF,5.066847527592998,1.5,1
CF,5.189368264034185,2.0,1
CF,5.300449750745352,2.5,1
CF,5.334297579525073,3.0,1
CF,5.331141014010075,3.5,1
CF,5.318740777696057,3.99,1
OLS,0.023237606188855404,0.5,1
OLS,0.6522884637921125,1.0,1
OLS,1.1627188538060778,1.5,1
OLS,1.527299253660064,2.0,1
OLS,2.1087105707080807,2.5,1
OLS,2.4296128291136125,3.0,1
OLS,2.7584197576245386,3.5,1
OLS,3.179676143304966,3.99,1
IMP,0.7971370468927241,0.5,1
IMP,0.7971370468927241,1.0,1
IMP,0.7971370468927241,1.5,1
IMP,0.7971370468927241,2.0,1
IMP,0.7971370468927241,2.5,1
IMP,0.797137046892724,3.0,1
IMP,0.7971370468927241,3.5,1
