Rep,Method,MSE,MSE_standard_error
East/West_Rep8,BCF-lin,0.5625453613662311,0.03963937042057613
East/West_Rep8,LS,0.32483031358486664,0.015624153057513104
East/West_Rep8,OLS,0.6061155357938888,0.02705812853906371
East/West_Rep8,AVE,1.3659629141655125,0.042892954817432404
East/West_Rep7,BCF,0.435657686543417,0.01801112717072227
East/West_Rep7,BCF-lin,0.5545141829065003,0.033997224796840815
East/West_Rep7,LS,0.3157485954952517,0.016571010021193374
East/West_Rep7,OLS,0.5782202650683409,0.02512031444115897
East/West_Rep7,AVE,1.2940101458167483,0.04094065455885353
East/West_Rep2,BCF,0.4673911096724416,0.02005879412318017
East/West_Rep2,BCF-lin,0.5778089762218717,0.03324996731348173
East/West_Rep2,LS,0.3418013788411878,0.01772509591678997
East/West_Rep2,OLS,0.5879873900882332,0.027964944119369898
East/West_Rep2,AVE,1.3072088487378628,0.04158707921221118
East/West_Rep3,BCF,0.45918268820397345,0.020383308880907336
East/West_Rep3,BCF-lin,0.5650684595006716,0.02940094421956375
East/West_Rep3,LS,0.3458485832386578,0.01766858568441474
East/West_Rep3,OLS,0.5952207005816578,0.02719199402737459
East/West_Rep3,AVE,1.2790333105819847,0.04039665430984013
East/West_Rep10,BCF,0.4434236572833499,0.019204814887895674
East/West_Rep10,BCF-lin,0.5425841856763974,0.033437388643613834
East/West_Rep10,LS,0.32436389414626254,0.017584728271245326
East/West_Rep10,OLS,0.5785390535294229,0.02675870067478
East/West_Rep10,AVE,1.2625864421575086,0.04004428903712035
East/West_Rep9,BCF,0.45558668740514124,0.020018780021099136
East/West_Rep9,BCF-lin,0.5887971554415097,0.039555023413804444
East/West_Rep9,LS,0.328411966732923,0.01690654045088349
East/West_Rep9,OLS,0.6091657320642876,0.025546870576654467
East/West_Rep9,AVE,1.3638556264968844,0.04273847445416287
West/East_Rep6,BCF,0.4025109283799875,0.02003693489233392
West/East_Rep6,BCF-lin,0.5017336539534468,0.03820376667861561
West/East_Rep6,LS,0.2518716126899864,0.013863316558571504
West/East_Rep6,OLS,0.517382822112407,0.025505819354469647
West/East_Rep6,AVE,1.3360160315801173,0.04628480105795339
West/East_Rep3,BCF,0.4656893044785505,0.023680470885101522
West/East_Rep3,BCF-lin,0.8544092044499829,0.2324646128350074
West/East_Rep3,LS,0.29238798999025756,0.018211327161289797
West/East_Rep3,OLS,0.654422939254618,0.05675062232915038
West/East_Rep3,AVE,1.3728567918996093,0.049324250198428406
West/East_Rep2,BCF,0.45947849505532645,0.02739081753307535
West/East_Rep2,BCF-lin,0.8330131052593795,0.21207807361590011
West/East_Rep2,LS,0.2979507316878748,0.02177233646290431
West/East_Rep2,OLS,0.6123331254768514,0.03847826650001073
West/East_Rep2,AVE,1.3402219331492244,0.04697140989094601
West/East_Rep5,BCF,0.42372182691295057,0.022901714731611983
West/East_Rep5,BCF-lin,0.8649875406015491,0.33207705687118105
West/East_Rep5,LS,0.28301482011912815,0.021015553300856096
West/East_Rep5,OLS,0.5984432358956453,0.0715145672736371
West/East_Rep5,AVE,1.3607744415296472,0.04861215040571801
West/East_Rep1,BCF,0.44589074720169064,0.02259602358811495
West/East_Rep1,BCF-lin,0.5097813958499071,0.027832149177797
West/East_Rep1,LS,0.2713795385221735,0.017533366947816254
West/East_Rep1,OLS,0.5488596568578209,0.02805716778211006
West/East_Rep1,AVE,1.4449513694393525,0.051356161289448386
West/East_Rep7,BCF,0.45805261181328544,0.024154103635325695
West/East_Rep7,BCF-lin,0.5346206349689553,0.03553588261909683
West/East_Rep7,LS,0.28544443785831447,0.0188147113858632
West/East_Rep7,OLS,0.5774508108118817,0.03928219997281579
West/East_Rep7,AVE,1.3814436657036766,0.04901744555603318
West/East_Rep4,BCF,0.4359964986600668,0.02493744627833994
West/East_Rep4,BCF-lin,0.5919503354213613,0.06454380645399085
West/East_Rep4,LS,0.27849123785112423,0.01769928801355787
West/East_Rep4,OLS,0.5369116063202635,0.027787306658059435
West/East_Rep4,AVE,1.387944880954856,0.050785250468503754
West/East_Rep8,BCF,0.43579948521836137,0.024310137702486356
West/East_Rep8,BCF-lin,0.750822069940901,0.20055850547769621
West/East_Rep8,LS,0.28624615207655496,0.01936667336638122
West/East_Rep8,OLS,0.5587241293402669,0.030266087875727574
West/East_Rep8,AVE,1.3536301780947664,0.04788240109208447
West/East_Rep10,BCF,0.4423689149782823,0.02330385333911594
West/East_Rep10,BCF-lin,0.595125439483704,0.07058321331864498
West/East_Rep10,LS,0.2789310367396225,0.018497503732233685
West/East_Rep10,OLS,0.5483042515106846,0.029196991809115305
West/East_Rep10,AVE,1.4058143877310274,0.04895217638466982
West/East_Rep9,BCF,0.4174225408452389,0.02175671563807931
West/East_Rep9,BCF-lin,1.1246297609283495,0.3690460666470821
West/East_Rep9,LS,0.2682697984177848,0.016128833505089743
West/East_Rep9,OLS,0.5327352729514389,0.02848797157571849
West/East_Rep9,AVE,1.305642485602223,0.04607840736017961
SE/rest_Rep7,BCF,0.37207986962528866,0.01835024728421175
SE/rest_Rep7,BCF-lin,0.511418426204399,0.024233509086330107
SE/rest_Rep7,LS,0.3086448124531719,0.017622365394228776
SE/rest_Rep7,OLS,0.5630356706933433,0.02504791281677867
SE/rest_Rep7,AVE,1.248683149757001,0.04156393872594903
SE/rest_Rep6,BCF,0.3624361382447363,0.017558476723375443
SE/rest_Rep6,BCF-lin,0.5011891850768357,0.024898760986377794
SE/rest_Rep6,LS,0.2949135381512606,0.015631968228193155
SE/rest_Rep6,OLS,0.5575840655905616,0.02449069963786674
SE/rest_Rep6,AVE,1.2995660969563472,0.04214240592500454
SE/rest_Rep4,BCF,0.39290915338388077,0.0189138529209834
SE/rest_Rep4,BCF-lin,0.5198186182159253,0.02668238422673189
SE/rest_Rep4,LS,0.3188035212129838,0.018183722069695513
SE/rest_Rep4,OLS,0.571717972424863,0.029937246674794197
SE/rest_Rep4,AVE,1.2293946968669005,0.041532454610933724
SE/rest_Rep8,BCF,0.4129691475970807,0.020928698292814324
SE/rest_Rep8,BCF-lin,0.5297977782742628,0.025243222352042252
SE/rest_Rep8,LS,0.34582113236800704,0.0201676423024255
SE/rest_Rep8,OLS,0.5887855689800093,0.0261133934146858
SE/rest_Rep8,AVE,1.272751954081712,0.04119639064208503
SE/rest_Rep5,BCF,0.3599556654705791,0.018182997412291554
SE/rest_Rep5,BCF-lin,0.5277477175488595,0.06281410901809563
SE/rest_Rep5,LS,0.2973029092532887,0.017122882710075223
SE/rest_Rep5,OLS,0.5390043574509207,0.024106346363776465
SE/rest_Rep5,AVE,1.223208997798811,0.04089178718652315
SE/rest_Rep2,BCF,0.39592526824262886,0.0195285238401522
SE/rest_Rep2,BCF-lin,0.5516521206121573,0.03060067342599203
SE/rest_Rep2,LS,0.32686511778584354,0.018414184450095065
SE/rest_Rep2,OLS,0.5833923762565647,0.02760194713235848
SE/rest_Rep2,AVE,1.2901334173072736,0.04148385465409711
SE/rest_Rep3,BCF,0.3636998597733303,0.018593177826704277
SE/rest_Rep3,BCF-lin,0.5032672408882832,0.026156970244934633
SE/rest_Rep3,LS,0.2910688096833814,0.016613911386665743
SE/rest_Rep3,OLS,0.5456863575951506,0.02765315036581534
SE/rest_Rep3,AVE,1.1874181369660652,0.039168170352556306
SE/rest_Rep1,BCF,0.3708982441449979,0.01722725833604986
SE/rest_Rep1,BCF-lin,0.5143185553286554,0.025438869516706552
SE/rest_Rep1,LS,0.32157015013883045,0.01696488556717789
SE/rest_Rep1,OLS,0.5754124741025701,0.026902842353488523
SE/rest_Rep1,AVE,1.257166228793249,0.04080513335338656
SE/rest_Rep9,BCF,0.36604241984205177,0.017362724988269535
SE/rest_Rep9,BCF-lin,0.48021246285881924,0.02210687634348554
SE/rest_Rep9,LS,0.3088331872944174,0.01731964318198873
SE/rest_Rep9,OLS,0.5383336977169392,0.02332282358287727
SE/rest_Rep9,AVE,1.207738598484749,0.039847610063588834
SE/rest_Rep10,BCF,0.3830348976382085,0.017998487047118247
SE/rest_Rep10,BCF-lin,0.5162813489158719,0.02510294079198483
SE/rest_Rep10,LS,0.30247902438731744,0.016572092340191188
SE/rest_Rep10,OLS,0.5709482962462233,0.027412838864278116
SE/rest_Rep10,AVE,1.2943047333689266,0.04251777312505944
