model,test_mse,int_par,var_y,rep_id
BCF,0.6768632990157908,0.5,8.034455540892807,0
BCF,1.0590866668386567,1.0,7.123731042855874,0
BCF,1.1218243140365898,1.5,6.025866717436286,0
BCF,1.2177723763224695,2.0,4.933835618343088,0
BCF,1.2286500151174604,2.5,3.795772187664051,0
BCF,1.2371611390036452,3.0,2.9314366180661535,0
BCF,1.225374135363183,3.5,2.2348655119922816,0
BCF,1.2265099906056853,3.99,1.4577104339612446,0
BCF-MLP-large,1.1808505087481995,0.5,8.034455540892807,0
BCF-MLP-large,1.2163628224443233,1.0,7.123731042855874,0
BCF-MLP-large,1.241499369520256,1.5,6.025866717436286,0
BCF-MLP-large,1.2464071423034615,2.0,4.933835618343088,0
BCF-MLP-large,1.235262698704396,2.5,3.795772187664051,0
BCF-MLP-large,1.2709540319479689,3.0,2.9314366180661535,0
BCF-MLP-large,1.3392656693626523,3.5,2.2348655119922816,0
BCF-MLP-large,1.447883459695456,3.99,1.4577104339612446,0
IMP,1.015338382478897,0.5,8.034455540892807,0
IMP,1.015338382478897,1.0,7.123731042855874,0
IMP,1.015338382478897,1.5,6.025866717436286,0
IMP,1.015338382478897,2.0,4.933835618343088,0
IMP,1.015338382478897,2.5,3.795772187664051,0
IMP,1.015338382478897,3.0,2.9314366180661535,0
IMP,1.015338382478897,3.5,2.2348655119922816,0
IMP,1.015338382478897,3.99,1.4577104339612446,0
Causal,1.9444911775378246,0.5,8.034455540892807,0
Causal,1.9444911775378246,1.0,7.123731042855874,0
Causal,1.9444911775378246,1.5,6.025866717436286,0
Causal,1.9444911775378246,2.0,4.933835618343088,0
Causal,1.9444911775378246,2.5,3.795772187664051,0
Causal,1.9444911775378246,3.0,2.9314366180661535,0
Causal,1.9444911775378246,3.5,2.2348655119922816,0
Causal,1.9444911775378246,3.99,1.4577104339612446,0
OLS,0.01744944323915971,0.5,8.034455540892807,0
OLS,0.6458617401838972,1.0,7.123731042855874,0
OLS,1.1021688049386134,1.5,6.025866717436286,0
OLS,1.6107258121350567,2.0,4.933835618343088,0
OLS,1.9837557175048088,2.5,3.795772187664051,0
OLS,2.2033558720206,3.0,2.9314366180661535,0
OLS,2.2715431742533276,3.5,2.2348655119922816,0
OLS,2.31511518323322,3.99,1.4577104339612446,0
