model,test_mse,int_par,var_y,rep_id
BCF,1.1491138660974798,0.5,13.325885999329127,0
BCF,1.1438069771975428,1.0,12.811456457653215,0
BCF,1.1788513592435643,1.5,12.237276907702725,0
BCF,1.2192432832081177,2.0,11.700682051175727,0
BCF,1.3120251962414835,2.5,11.203546490400942,0
BCF,1.3515898131800004,3.0,10.597528533214039,0
BCF,1.462276260396976,3.5,9.800453818789032,0
BCF,1.6234133917136213,3.99,9.173698049312044,0
BCF-MLP-large,1.1665796187759865,0.5,13.325885999329127,0
BCF-MLP-large,1.1724628348873094,1.0,12.811456457653215,0
BCF-MLP-large,1.1749771231428605,1.5,12.237276907702725,0
BCF-MLP-large,1.176086510373772,2.0,11.700682051175727,0
BCF-MLP-large,1.2249063042858048,2.5,11.203546490400942,0
BCF-MLP-large,1.3035046147281124,3.0,10.597528533214039,0
BCF-MLP-large,1.4434036412535542,3.5,9.800453818789032,0
BCF-MLP-large,1.6509755903634014,3.99,9.173698049312044,0
IMP,1.0171569305350214,0.5,13.325885999329127,0
IMP,1.0171569305350214,1.0,12.811456457653215,0
IMP,1.0171569305350214,1.5,12.237276907702725,0
IMP,1.0171569305350214,2.0,11.700682051175727,0
IMP,1.0171569305350214,2.5,11.203546490400942,0
IMP,1.0171569305350214,3.0,10.597528533214039,0
IMP,1.0171569305350214,3.5,9.800453818789032,0
IMP,1.0171569305350214,3.99,9.173698049312044,0
Causal,2.1072665938679496,0.5,13.325885999329127,0
Causal,2.10726659386795,1.0,12.811456457653215,0
Causal,2.10726659386795,1.5,12.237276907702725,0
Causal,2.10726659386795,2.0,11.700682051175727,0
Causal,2.10726659386795,2.5,11.203546490400942,0
Causal,2.10726659386795,3.0,10.597528533214039,0
Causal,2.1072665938679496,3.5,9.800453818789032,0
Causal,2.10726659386795,3.99,9.173698049312044,0
OLS,0.38633737819002717,0.5,13.325885999329127,0
OLS,0.6550374947285602,1.0,12.811456457653215,0
OLS,1.013050619216348,1.5,12.237276907702725,0
OLS,1.3903088764067424,2.0,11.700682051175727,0
OLS,1.6546343681815456,2.5,11.203546490400942,0
OLS,1.8515965208237608,3.0,10.597528533214039,0
OLS,2.0055333847963617,3.5,9.800453818789032,0
OLS,2.152369101795286,3.99,9.173698049312044,0
