model,test_mse,int_par,var_y,rep_id
BCF,1.80672776429421,0.5,4.136340871465097,0
BCF,1.7451417301130527,1.0,3.4681818068252785,0
BCF,1.6255449923923284,1.5,3.016749145213366,0
BCF,1.6236944033696892,2.0,2.5640628790780173,0
BCF,1.5790157903775799,2.5,2.265670761031676,0
BCF,1.6707426339344953,3.0,1.9977739364125777,0
BCF,1.499232346390519,3.5,1.777962462261039,0
BCF,1.364801099851442,3.99,1.649019452055627,0
BCF-MLP-large,1.42782778891734,0.5,4.136340871465097,0
BCF-MLP-large,1.2812787277251356,1.0,3.4681818068252785,0
BCF-MLP-large,1.1787533413034625,1.5,3.016749145213366,0
BCF-MLP-large,1.0706007416693333,2.0,2.5640628790780173,0
BCF-MLP-large,0.9778510844249126,2.5,2.265670761031676,0
BCF-MLP-large,0.8833280679062178,3.0,1.9977739364125777,0
BCF-MLP-large,0.79388411110504,3.5,1.777962462261039,0
BCF-MLP-large,0.7387488790021851,3.99,1.649019452055627,0
IMP,1.1078550732654344,0.5,4.136340871465097,0
IMP,1.1078550732654344,1.0,3.4681818068252785,0
IMP,1.1078550732654344,1.5,3.016749145213366,0
IMP,1.1078550732654344,2.0,2.5640628790780173,0
IMP,1.1078550732654344,2.5,2.265670761031676,0
IMP,1.1078550732654344,3.0,1.9977739364125777,0
IMP,1.1078550732654344,3.5,1.777962462261039,0
IMP,1.1078550732654344,3.99,1.649019452055627,0
Causal,2.2256914317901293,0.5,4.136340871465097,0
Causal,2.2256914317901293,1.0,3.4681818068252785,0
Causal,2.2256914317901293,1.5,3.016749145213366,0
Causal,2.2256914317901293,2.0,2.5640628790780173,0
Causal,2.2256914317901293,2.5,2.265670761031676,0
Causal,2.2256914317901293,3.0,1.9977739364125777,0
Causal,2.2256914317901293,3.5,1.777962462261039,0
Causal,2.2256914317901293,3.99,1.649019452055627,0
OLS,0.4557943152851652,0.5,4.136340871465097,0
OLS,0.8484959850901791,1.0,3.4681818068252785,0
OLS,1.192679866659873,1.5,3.016749145213366,0
OLS,1.56524157677916,2.0,2.5640628790780173,0
OLS,1.8980106161212031,2.5,2.265670761031676,0
OLS,2.092551560704808,3.0,1.9977739364125777,0
OLS,2.304202367001574,3.5,1.777962462261039,0
OLS,2.473772998167027,3.99,1.649019452055627,0
