model,test_mse,int_par,var_y,rep_id
BCF,0.998678027808732,0.5,2.656737485648187,0
BCF,1.2121502892567213,1.0,2.98380303948802,0
BCF,1.361512568231629,1.5,3.359058985779403,0
BCF,1.5209567576044696,2.0,3.705053950946391,0
BCF,1.6133341243873878,2.5,3.7921139509035644,0
BCF,1.799200978260726,3.0,4.091467414875051,0
BCF,2.0672168960845587,3.5,4.339178115353387,0
BCF,2.3441160775683616,3.99,4.491155341638532,0
BCF-MLP-large,1.3682114621933967,0.5,2.656737485648187,0
BCF-MLP-large,1.3847031854036662,1.0,2.98380303948802,0
BCF-MLP-large,1.4115379958331633,1.5,3.359058985779403,0
BCF-MLP-large,1.4768002015035935,2.0,3.705053950946391,0
BCF-MLP-large,1.5548597502979264,2.5,3.7921139509035644,0
BCF-MLP-large,1.6809864378462627,3.0,4.091467414875051,0
BCF-MLP-large,1.8662694896716634,3.5,4.339178115353387,0
BCF-MLP-large,2.0609453435761123,3.99,4.491155341638532,0
IMP,1.0932636727019103,0.5,2.656737485648187,0
IMP,1.0932636727019105,1.0,2.98380303948802,0
IMP,1.0932636727019105,1.5,3.359058985779403,0
IMP,1.0932636727019105,2.0,3.705053950946391,0
IMP,1.0932636727019105,2.5,3.7921139509035644,0
IMP,1.0932636727019105,3.0,4.091467414875051,0
IMP,1.0932636727019103,3.5,4.339178115353387,0
IMP,1.0932636727019103,3.99,4.491155341638532,0
Causal,2.0135717262029518,0.5,2.656737485648187,0
Causal,2.0135717262029518,1.0,2.98380303948802,0
Causal,2.013571726202952,1.5,3.359058985779403,0
Causal,2.013571726202952,2.0,3.705053950946391,0
Causal,2.0135717262029518,2.5,3.7921139509035644,0
Causal,2.013571726202952,3.0,4.091467414875051,0
Causal,2.0135717262029518,3.5,4.339178115353387,0
Causal,2.0135717262029518,3.99,4.491155341638532,0
OLS,0.46099808366208805,0.5,2.656737485648187,0
OLS,0.868649648540497,1.0,2.98380303948802,0
OLS,1.3261980647536138,1.5,3.359058985779403,0
OLS,1.845778155572817,2.0,3.705053950946391,0
OLS,2.1905344743561677,2.5,3.7921139509035644,0
OLS,2.5519597032296093,3.0,4.091467414875051,0
OLS,2.770636043515357,3.5,4.339178115353387,0
OLS,2.793024455375246,3.99,4.491155341638532,0
