model,test_mse,int_par,var_y,rep_id
BCF,0.5106437090260412,0.5,7.525677333655959,0
BCF,0.9306424136035896,1.0,9.621401193458619,0
BCF,1.1371239980126842,1.5,11.32544414870543,0
BCF,1.3588940854809943,2.0,12.976930538371663,0
BCF,1.5903847694091406,2.5,16.276641726651572,0
BCF,1.811617210588514,3.0,16.83499617118763,0
BCF,2.081596486988124,3.5,16.776611873109225,0
BCF,2.456266661967345,3.99,14.5786433957156,0
BCF-MLP-large,1.3831856096950224,0.5,7.525677333655959,0
BCF-MLP-large,1.4341206120294865,1.0,9.621401193458619,0
BCF-MLP-large,1.4536910571915795,1.5,11.32544414870543,0
BCF-MLP-large,1.4651925090920854,2.0,12.976930538371663,0
BCF-MLP-large,1.4526334426611889,2.5,16.276641726651572,0
BCF-MLP-large,1.4370220691906994,3.0,16.83499617118763,0
BCF-MLP-large,1.4005142429313686,3.5,16.776611873109225,0
BCF-MLP-large,1.3301800195489346,3.99,14.5786433957156,0
IMP,1.092491435884829,0.5,7.525677333655959,0
IMP,1.092491435884829,1.0,9.621401193458619,0
IMP,1.092491435884829,1.5,11.32544414870543,0
IMP,1.092491435884829,2.0,12.976930538371663,0
IMP,1.0924914358848292,2.5,16.276641726651572,0
IMP,1.092491435884829,3.0,16.83499617118763,0
IMP,1.0924914358848292,3.5,16.776611873109225,0
IMP,1.0924914358848292,3.99,14.5786433957156,0
Causal,2.0150087965675807,0.5,7.525677333655959,0
Causal,2.015008796567581,1.0,9.621401193458619,0
Causal,2.0150087965675807,1.5,11.32544414870543,0
Causal,2.015008796567581,2.0,12.976930538371663,0
Causal,2.0150087965675807,2.5,16.276641726651572,0
Causal,2.0150087965675807,3.0,16.83499617118763,0
Causal,2.0150087965675807,3.5,16.776611873109225,0
Causal,2.015008796567581,3.99,14.5786433957156,0
OLS,0.026314382656035737,0.5,7.525677333655959,0
OLS,0.6915043593151322,1.0,9.621401193458619,0
OLS,1.2982670382463515,1.5,11.32544414870543,0
OLS,2.003962910864652,2.0,12.976930538371663,0
OLS,2.6131635472037296,2.5,16.276641726651572,0
OLS,2.9596904940125484,3.0,16.83499617118763,0
OLS,3.1457176359353296,3.5,16.776611873109225,0
OLS,3.1895151206170156,3.99,14.5786433957156,0
