model,test_mse,int_par,var_y,rep_id
BCF,1.6201494276180848,0.5,5.4263071988154,0
BCF,1.683921245830155,1.0,7.133356993134696,0
BCF,1.694408323015595,1.5,8.019787347637209,0
BCF,1.7912337888771706,2.0,8.525621298035407,0
BCF,1.992247479755412,2.5,9.097906240484816,0
BCF,2.1653415764645567,3.0,8.216370083527497,0
BCF,2.314027052216431,3.5,7.016520170795563,0
BCF,2.5353249007838077,3.99,4.711258655999657,0
BCF-MLP-large,0.7363844378858644,0.5,5.4263071988154,0
BCF-MLP-large,0.8440143903044576,1.0,7.133356993134696,0
BCF-MLP-large,0.9399602450121642,1.5,8.019787347637209,0
BCF-MLP-large,0.9620801892340584,2.0,8.525621298035407,0
BCF-MLP-large,0.8727736393876212,2.5,9.097906240484816,0
BCF-MLP-large,0.8133837501038743,3.0,8.216370083527497,0
BCF-MLP-large,0.6978224172852096,3.5,7.016520170795563,0
BCF-MLP-large,0.5704029960675147,3.99,4.711258655999657,0
IMP,0.9629443610247392,0.5,5.4263071988154,0
IMP,0.9629443610247395,1.0,7.133356993134696,0
IMP,0.9629443610247392,1.5,8.019787347637209,0
IMP,0.9629443610247392,2.0,8.525621298035407,0
IMP,0.9629443610247392,2.5,9.097906240484816,0
IMP,0.9629443610247392,3.0,8.216370083527497,0
IMP,0.9629443610247393,3.5,7.016520170795563,0
IMP,0.9629443610247392,3.99,4.711258655999657,0
Causal,2.050469297399839,0.5,5.4263071988154,0
Causal,2.050469297399839,1.0,7.133356993134696,0
Causal,2.050469297399839,1.5,8.019787347637209,0
Causal,2.050469297399839,2.0,8.525621298035407,0
Causal,2.050469297399839,2.5,9.097906240484816,0
Causal,2.050469297399839,3.0,8.216370083527497,0
Causal,2.050469297399839,3.5,7.016520170795563,0
Causal,2.050469297399839,3.99,4.711258655999657,0
OLS,0.40851394403915636,0.5,5.4263071988154,0
OLS,0.6823998253133258,1.0,7.133356993134696,0
OLS,1.0730969224774343,1.5,8.019787347637209,0
OLS,1.4640542498023759,2.0,8.525621298035407,0
OLS,1.6402621031942626,2.5,9.097906240484816,0
OLS,1.8294261206091538,3.0,8.216370083527497,0
OLS,1.888095226671668,3.5,7.016520170795563,0
OLS,2.003144558830521,3.99,4.711258655999657,0
