model,test_mse,int_par,rep_id
BCF,1.0443873242935697,0.5,0
BCF,1.0175028920412001,1.0,0
BCF,1.0004241492871713,1.5,0
BCF,0.9613770044686114,2.0,0
BCF,0.9553527585563685,2.5,0
BCF,0.8628467209360533,3.0,0
BCF,0.7614368420481679,3.5,0
BCF,0.6353722835551021,3.99,0
CF,2.889986421491578,0.5,0
CF,2.9124516517959864,1.0,0
CF,2.9660643958377713,1.5,0
CF,2.9606425657469364,2.0,0
CF,2.9992742580637843,2.5,0
CF,2.959145196997385,3.0,0
CF,2.8944998478617485,3.5,0
CF,2.7513480296312647,3.99,0
OLS,0.6461675973326786,0.5,0
OLS,0.7202709833931692,1.0,0
OLS,0.84433400459596,1.5,0
OLS,1.0816843323778724,2.0,0
OLS,1.3954126539265828,2.5,0
OLS,1.9729965971548167,3.0,0
OLS,2.8573095410617766,3.5,0
OLS,4.132176520094347,3.99,0
IMP,1.0826653211199495,0.5,0
IMP,1.0826653211199495,1.0,0
IMP,1.0826653211199495,1.5,0
IMP,1.0826653211199495,2.0,0
IMP,1.0826653211199495,2.5,0
IMP,1.0826653211199495,3.0,0
IMP,1.0826653211199495,3.5,0
IMP,1.0826653211199495,3.99,0
Causal,2.107208395033507,0.5,0
Causal,2.107208395033507,1.0,0
Causal,2.107208395033507,1.5,0
Causal,2.107208395033507,2.0,0
Causal,2.107208395033507,2.5,0
Causal,2.107208395033507,3.0,0
Causal,2.107208395033507,3.5,0
Causal,2.107208395033507,3.99,0
BCF,1.034148316880595,0.5,1
BCF,1.0544148617715488,1.0,1
BCF,1.0706808109829173,1.5,1
BCF,1.0494362362973277,2.0,1
BCF,1.098614692743667,2.5,1
BCF,1.1311115313049682,3.0,1
BCF,1.1570240315443348,3.5,1
BCF,1.2195565213281174,3.99,1
CF,1.5831818428218727,0.5,1
CF,1.623265343882572,1.0,1
CF,1.6095802080535473,1.5,1
CF,1.5660071060524523,2.0,1
CF,1.6187347677096195,2.5,1
CF,1.6225387964150724,3.0,1
CF,1.6095203096723125,3.5,1
CF,1.6175569132699161,3.99,1
OLS,0.6280192558986656,0.5,1
OLS,0.695479084052224,1.0,1
OLS,0.8578195097759063,1.5,1
OLS,1.0812320524942511,2.0,1
OLS,1.5515917951311913,2.5,1
OLS,2.128782957146772,3.0,1
OLS,2.7709953117321793,3.5,1
OLS,3.61579346297548,3.99,1
IMP,1.1109597041521482,0.5,1
IMP,1.1109597041521482,1.0,1
IMP,1.1109597041521482,1.5,1
IMP,1.1109597041521484,2.0,1
IMP,1.1109597041521482,2.5,1
IMP,1.1109597041521482,3.0,1
IMP,1.1109597041521482,3.5,1
IMP,1.1109597041521482,3.99,1
Causal,2.1983881648771773,0.5,1
Causal,2.198388164877177,1.0,1
Causal,2.198388164877177,1.5,1
Causal,2.1983881648771773,2.0,1
Causal,2.1983881648771773,2.5,1
Causal,2.1983881648771773,3.0,1
Causal,2.198388164877177,3.5,1
Causal,2.198388164877177,3.99,1
BCF,1.0340382520200513,0.5,2
BCF,0.9885152312900687,1.0,2
BCF,0.9786638991238615,1.5,2
BCF,0.9374046736636733,2.0,2
BCF,0.9014689791398754,2.5,2
BCF,0.8434311829527384,3.0,2
BCF,0.7902209090478548,3.5,2
BCF,0.7947505514242417,3.99,2
