model,test_mse,int_par,var_y,rep_id
BCF,1.0824688962402034,0.5,2.656737485648187,0
BCF,1.148826682262162,1.0,2.98380303948802,0
BCF,1.1818007335290572,1.5,3.359058985779403,0
BCF,1.2206554940589767,2.0,3.705053950946391,0
BCF,1.2474619621631253,2.5,3.7921139509035644,0
BCF,1.2951855593799393,3.0,4.091467414875051,0
BCF,1.3777960251147197,3.5,4.339178115353387,0
BCF,1.457808733284754,3.99,4.491155341638532,0
BCF-MLP-large,1.1867990158863777,0.5,2.656737485648187,0
BCF-MLP-large,1.1701178638366725,1.0,2.98380303948802,0
BCF-MLP-large,1.162401254262253,1.5,3.359058985779403,0
BCF-MLP-large,1.163435095371457,2.0,3.705053950946391,0
BCF-MLP-large,1.1749796107907022,2.5,3.7921139509035644,0
BCF-MLP-large,1.1862988870654216,3.0,4.091467414875051,0
BCF-MLP-large,1.2021403580291576,3.5,4.339178115353387,0
BCF-MLP-large,1.2187524643526482,3.99,4.491155341638532,0
IMP,1.0932636727019103,0.5,2.656737485648187,0
IMP,1.0932636727019105,1.0,2.98380303948802,0
IMP,1.0932636727019105,1.5,3.359058985779403,0
IMP,1.0932636727019105,2.0,3.705053950946391,0
IMP,1.0932636727019105,2.5,3.7921139509035644,0
IMP,1.0932636727019105,3.0,4.091467414875051,0
IMP,1.0932636727019103,3.5,4.339178115353387,0
IMP,1.0932636727019103,3.99,4.491155341638532,0
Causal,2.0135717262029518,0.5,2.656737485648187,0
Causal,2.0135717262029518,1.0,2.98380303948802,0
Causal,2.013571726202952,1.5,3.359058985779403,0
Causal,2.013571726202952,2.0,3.705053950946391,0
Causal,2.0135717262029518,2.5,3.7921139509035644,0
Causal,2.013571726202952,3.0,4.091467414875051,0
Causal,2.0135717262029518,3.5,4.339178115353387,0
Causal,2.0135717262029518,3.99,4.491155341638532,0
OLS,0.3905607731143171,0.5,2.656737485648187,0
OLS,0.6917908507152749,1.0,2.98380303948802,0
OLS,1.082725795043948,1.5,3.359058985779403,0
OLS,1.5576014081565643,2.0,3.705053950946391,0
OLS,1.8488253915996609,2.5,3.7921139509035644,0
OLS,2.1266968478716928,3.0,4.091467414875051,0
OLS,2.4333388996835676,3.5,4.339178115353387,0
OLS,2.58075412171345,3.99,4.491155341638532,0
