model,test_mse,int_par,rep_id
BCF,1.072278439168744,3.99,3
CF,1.7169716730090563,0.5,3
CF,1.6756608971594105,1.0,3
CF,1.6202974294297328,1.5,3
CF,1.5745342318817002,2.0,3
CF,1.5674723522374139,2.5,3
CF,1.4949743256051444,3.0,3
CF,1.4324125636262823,3.5,3
CF,1.3581315295788814,3.99,3
OLS,0.34537100844487567,0.5,3
OLS,0.6314953089557788,1.0,3
OLS,1.0699767396390343,1.5,3
OLS,1.5514594262252037,2.0,3
OLS,2.058590109171789,2.5,3
OLS,2.090756104652107,3.0,3
OLS,2.1002474134219575,3.5,3
OLS,2.030201364437053,3.99,3
IMP,1.1890857467021991,0.5,3
IMP,1.1890857467021991,1.0,3
IMP,1.1890857467021991,1.5,3
IMP,1.1890857467021991,2.0,3
IMP,1.1890857467021991,2.5,3
IMP,1.1890857467021991,3.0,3
IMP,1.1890857467021991,3.5,3
IMP,1.1890857467021991,3.99,3
Causal,2.0781275764533915,0.5,3
Causal,2.0781275764533915,1.0,3
Causal,2.0781275764533915,1.5,3
Causal,2.0781275764533915,2.0,3
Causal,2.078127576453391,2.5,3
Causal,2.078127576453391,3.0,3
Causal,2.0781275764533915,3.5,3
Causal,2.0781275764533915,3.99,3
BCF,1.2182546447176688,0.5,4
BCF,1.2373441592309726,1.0,4
BCF,1.2582925194569667,1.5,4
BCF,1.2826929813060253,2.0,4
BCF,1.3226529603533914,2.5,4
BCF,1.33960856476946,3.0,4
BCF,1.3910141626928785,3.5,4
BCF,1.4566474963184328,3.99,4
CF,1.904026739518079,0.5,4
CF,1.941276737791567,1.0,4
CF,1.959756857432134,1.5,4
CF,1.9746135595104117,2.0,4
CF,1.986314663118101,2.5,4
CF,2.0105518111538734,3.0,4
CF,2.041460313462068,3.5,4
CF,2.109852556943454,3.99,4
OLS,0.4490853366484819,0.5,4
OLS,0.7639420950046129,1.0,4
OLS,1.1851153481709011,1.5,4
OLS,1.4901328445587332,2.0,4
OLS,1.7695790740585036,2.5,4
OLS,1.823977878605396,3.0,4
OLS,1.8053478204673081,3.5,4
OLS,1.7868773966058156,3.99,4
IMP,1.2340330287989805,0.5,4
IMP,1.2340330287989805,1.0,4
IMP,1.2340330287989805,1.5,4
IMP,1.2340330287989805,2.0,4
IMP,1.2340330287989805,2.5,4
IMP,1.2340330287989805,3.0,4
IMP,1.2340330287989805,3.5,4
IMP,1.2340330287989805,3.99,4
Causal,2.028318655830119,0.5,4
Causal,2.028318655830119,1.0,4
Causal,2.028318655830119,1.5,4
Causal,2.028318655830119,2.0,4
Causal,2.028318655830119,2.5,4
Causal,2.028318655830119,3.0,4
Causal,2.028318655830119,3.5,4
Causal,2.028318655830119,3.99,4
BCF,1.059357898875763,0.5,5
BCF,1.105548775069822,1.0,5
BCF,1.1196393675228764,1.5,5
BCF,1.1560477507893843,2.0,5
BCF,1.1447636284672913,2.5,5
BCF,1.1563527970147232,3.0,5
BCF,1.202886856128764,3.5,5
BCF,1.2598390172284935,3.99,5
CF,1.0347851314389223,0.5,5
CF,1.0720162264127011,1.0,5
CF,1.0893220427803285,1.5,5
CF,1.1165230735502139,2.0,5
CF,1.140134594429345,2.5,5
CF,1.1556745498844123,3.0,5
CF,1.1812542154415593,3.5,5
CF,1.2420213279224477,3.99,5
OLS,0.4197131352309334,0.5,5
OLS,0.7838336796358901,1.0,5
OLS,1.1681379481509524,1.5,5
OLS,1.4841708689792052,2.0,5
OLS,1.6614805483144646,2.5,5
OLS,1.8326913000413314,3.0,5
OLS,1.756708738471595,3.5,5
OLS,1.8052418128067984,3.99,5
IMP,1.1581632829122193,0.5,5
IMP,1.158163282912219,1.0,5
IMP,1.158163282912219,1.5,5
IMP,1.158163282912219,2.0,5
IMP,1.158163282912219,2.5,5
IMP,1.1581632829122193,3.0,5
IMP,1.158163282912219,3.5,5
IMP,1.158163282912219,3.99,5
Causal,1.9531722027352734,0.5,5
Causal,1.9531722027352734,1.0,5
Causal,1.9531722027352731,1.5,5
Causal,1.9531722027352731,2.0,5
Causal,1.9531722027352734,2.5,5
Causal,1.953172202735273,3.0,5
Causal,1.9531722027352734,3.5,5
Causal,1.953172202735273,3.99,5
BCF,0.7018229190015516,0.5,6
BCF,0.8874506867919513,1.0,6
BCF,1.0394700641890244,1.5,6
BCF,1.2869436928127607,2.0,6
BCF,1.4505100169013085,2.5,6
BCF,1.630596894864398,3.0,6
BCF,1.8379545318875616,3.5,6
BCF,2.1078791576321483,3.99,6
CF,18.37848332747796,0.5,6
CF,18.65822630769371,1.0,6
CF,19.208616359881102,1.5,6
CF,19.43199895936224,2.0,6
CF,19.25411593114856,2.5,6
CF,19.32851670071274,3.0,6
CF,19.113063223673738,3.5,6
CF,19.196121634045063,3.99,6
OLS,0.48238410738446974,0.5,6
OLS,0.7777527940692109,1.0,6
OLS,1.1615149022873557,1.5,6
OLS,1.5985537114448656,2.0,6
OLS,1.8385371831867587,2.5,6
OLS,1.9674956194127557,3.0,6
OLS,2.0322764198836936,3.5,6
OLS,2.2044335029069266,3.99,6
IMP,1.1057726017871832,0.5,6
IMP,1.1057726017871832,1.0,6
IMP,1.1057726017871832,1.5,6
IMP,1.1057726017871832,2.0,6
IMP,1.1057726017871834,2.5,6
