model,test_mse,int_par,var_y,rep_id
BCF,1.223317669966541,0.5,4.136340871465097,0
BCF,1.232194844688347,1.0,3.4681818068252785,0
BCF,1.1915265788397102,1.5,3.016749145213366,0
BCF,1.1402850521966326,2.0,2.5640628790780173,0
BCF,1.1575410149924759,2.5,2.265670761031676,0
BCF,1.076833184961407,3.0,1.9977739364125777,0
BCF,1.080869693217553,3.5,1.777962462261039,0
BCF,1.0665174554339987,3.99,1.649019452055627,0
BCF-MLP-large,1.0627751118092252,0.5,4.136340871465097,0
BCF-MLP-large,1.0593903962316895,1.0,3.4681818068252785,0
BCF-MLP-large,1.0608375220787825,1.5,3.016749145213366,0
BCF-MLP-large,1.0611676822239078,2.0,2.5640628790780173,0
BCF-MLP-large,1.0487789894673778,2.5,2.265670761031676,0
BCF-MLP-large,1.0425753980431853,3.0,1.9977739364125777,0
BCF-MLP-large,1.0289603351282282,3.5,1.777962462261039,0
BCF-MLP-large,1.0125766577529487,3.99,1.649019452055627,0
IMP,1.1078550732654344,0.5,4.136340871465097,0
IMP,1.1078550732654344,1.0,3.4681818068252785,0
IMP,1.1078550732654344,1.5,3.016749145213366,0
IMP,1.1078550732654344,2.0,2.5640628790780173,0
IMP,1.1078550732654344,2.5,2.265670761031676,0
IMP,1.1078550732654344,3.0,1.9977739364125777,0
IMP,1.1078550732654344,3.5,1.777962462261039,0
IMP,1.1078550732654344,3.99,1.649019452055627,0
Causal,2.2256914317901293,0.5,4.136340871465097,0
Causal,2.2256914317901293,1.0,3.4681818068252785,0
Causal,2.2256914317901293,1.5,3.016749145213366,0
Causal,2.2256914317901293,2.0,2.5640628790780173,0
Causal,2.2256914317901293,2.5,2.265670761031676,0
Causal,2.2256914317901293,3.0,1.9977739364125777,0
Causal,2.2256914317901293,3.5,1.777962462261039,0
Causal,2.2256914317901293,3.99,1.649019452055627,0
OLS,0.4339767656380657,0.5,4.136340871465097,0
OLS,0.7892026194730191,1.0,3.4681818068252785,0
OLS,1.1499670000400175,1.5,3.016749145213366,0
OLS,1.602127286228756,2.0,2.5640628790780173,0
OLS,1.909937093001592,2.5,2.265670761031676,0
OLS,2.0818949617188327,3.0,1.9977739364125777,0
OLS,2.3237070469889867,3.5,1.777962462261039,0
OLS,2.441863329744297,3.99,1.649019452055627,0
